id,student_name,URN,Maths,SESD,AIML,FSD,DVA,contest_scores,topic_wise_accuracy,time_spent_per_topic
20,Ishaan Mishra,2024-C-96002006B,95,58,61,,72,292,"{Maths:0.65,SESD:0.95,AIML:0.62,FSD:0.74,DVA:0.94}","{Maths:13.2,SESD:14.1,AIML:19.2,FSD:6.4,DVA:15.5}"
21,Ananya Reddy,2024-B-47192006B,49,56,92,65,43,,"{Maths:0.95,SESD:0.8,AIML:0.82,FSD:0.93,DVA:0.78}","{Maths:18.2,SESD:18.3,AIML:9.4,FSD:5.4,DVA:8.6}"
22,Ishaan Nair,2024-B-49532006B,58,86,48,55,47,344,"{Maths:0.53,SESD:0.5,AIML:0.86,FSD:0.9,DVA:0.95}","{Maths:13.5,SESD:15.5,AIML:12.1,FSD:10.3,DVA:11.8}"
23,Vihaan Patel,2024-A-83432006B,68,90,51,87,53,371,"{Maths:0.93,SESD:0.77,AIML:0.71,FSD:0.8,DVA:0.92}","{Maths:6.2,SESD:6.3,AIML:8.0,FSD:8.7,DVA:6.8}"
24,Reyansh Sharma,2024A10042006B,,94,,68,80,288,"{Maths:0.92,SESD:0.53,AIML:0.9,FSD:0.55,DVA:0.58}","{Maths:11.5,SESD:16.9,AIML:8.1,FSD:15.0,DVA:13.7}"
25,Aditya Kapoor,2024B10042006B,57,42,75,63,69,335,"{Maths:0.98,SESD:0.66,AIML:0.58,FSD:0.68,DVA:0.54}","{Maths:11.8,SESD:9.7,AIML:8.9,FSD:19.6,DVA:6.3}"
26,Riya Kumar,2024-B-52252006B,76,98,41,56,61,342,"{Maths:0.7,SESD:0.87,AIML:0.59,FSD:0.7,DVA:0.62}","{Maths:12.7,SESD:8.2,AIML:7.7,FSD:8.5,DVA:16.9}"
27,Ishaan Singh,2024-B-65012006B,68,48,48,82,90,362,"{Maths:0.65,SESD:0.9,AIML:0.62,FSD:0.87,DVA:0.96}","{Maths:10.1,SESD:8.8,AIML:17.5,FSD:16.1,DVA:19.4}"
28,Riya Gupta,2024-B-62382006B,74,40,95,75,87,396,"{Maths:0.91,SESD:0.67,AIML:0.68,FSD:0.89,DVA:0.91}","{Maths:19.4,SESD:8.3,AIML:14.6,FSD:17.1,DVA:17.6}"
29,Arjun Kumar,2024-C-50912006B,67,86,43,51,98,382,"{Maths:0.84,SESD:0.66,AIML:0.71,FSD:0.77,DVA:0.53}","{Maths:6.8,SESD:18.9,AIML:8.5,FSD:14.8,DVA:9.7}"
30,Ishaan Sharma,2024-A-62622006B,176,89,54,98,97,382,"{Maths:0.64,SESD:0.72,AIML:0.71,FSD:0.86,DVA:0.93}","{Maths:14.8,SESD:9.0,AIML:12.4,FSD:17.0,DVA:15.9}"
31,Pari Nair,2024-B-90132006B,44,66,98,81,82,385,"{Maths:0.65,SESD:0.69,AIML:0.61,FSD:0.67,DVA:0.98}","{Maths:5.5,SESD:18.5,AIML:15.6,FSD:19.3,DVA:15.7}"
32,Pari Gupta,2024-B-80292006B,94,85,48,87,74,,"{Maths:0.73,SESD:0.54,AIML:0.76,FSD:0.76,DVA:0.95}","{Maths:15.0,SESD:10.8,AIML:6.6,FSD:12.7,DVA:10.0}"
33,Krishna Reddy,2024-C-77822006B,57,99,86,43,67,378,"{Maths:0.8,SESD:0.71,AIML:0.52,FSD:0.95,DVA:0.93}","{Maths:10.7,SESD:7.5,AIML:11.0,FSD:17.8,DVA:16.4}"
34,Ira Mishra,2024A10042006B,99,78,66,53,64,390,"{Maths:0.94,SESD:0.97,AIML:0.89,FSD:0.83,DVA:0.87}","{Maths:7.5,SESD:12.5,AIML:7.9,FSD:15.6,DVA:12.1}"
35,Vihaan Kapoor,2024-B-92312006B,69,73,99,52,40,367,"{Maths:0.81,SESD:0.93,AIML:0.84,FSD:0.97,DVA:0.95}","{Maths:15.4,SESD:12.7,AIML:11.4,FSD:7.7,DVA:8.0}"
36,Aarav Gupta,2024-B-39252006B,64,40,96,74,75,355,"{Maths:0.64,SESD:0.79,AIML:0.55,FSD:0.87,DVA:0.58}","{Maths:19.0,SESD:14.8,AIML:11.2,FSD:6.7,DVA:8.8}"
37,Vivaan Kumar,2024-A-15862006B,44,99,-3,70,65,283,"{Maths:0.77,SESD:0.77,AIML:0.5,FSD:0.89,DVA:0.63}","{Maths:12.2,SESD:15.5,AIML:13.4,FSD:15.6,DVA:6.6}"
38,Saanvi Kumar,2024A10042006B,74,85,63,64,85,421,"{Maths:0.97,SESD:0.79,AIML:0.55,FSD:0.5,DVA:0.6}","{Maths:7.6,SESD:13.7,AIML:15.1,FSD:16.2,DVA:7.7}"
39,Sai Reddy,2024-A-20212006B,59,80,80,47,42,348,"{Maths:0.84,SESD:0.86,AIML:0.95,FSD:0.97,DVA:0.87}","{Maths:17.9,SESD:9.8,AIML:14.9,FSD:5.6,DVA:9.3}"
40,Myra Kumar,2024-A-61782006B,96,46,,44,42,238,"{Maths:0.68,SESD:0.97,AIML:0.87,FSD:0.91,DVA:0.87}","{Maths:16.6,SESD:7.1,AIML:14.8,FSD:18.0,DVA:5.5}"
41,Aditya Gupta,2024-B-39912006B,74,88,40,54,89,358,"{Maths:0.73,SESD:0.53,AIML:0.74,FSD:0.56,DVA:0.77}",
42,Aditya Sharma,2024-B-92592006B,81,68,55,60,-8,298,"{Maths:0.94,SESD:0.68,AIML:0.77,FSD:0.89,DVA:0.59}","{Maths:16.1,SESD:17.0,AIML:18.2,FSD:14.6,DVA:18.6}"
43,Saanvi Kapoor,2024-C-17102006B,87,57,84,90,84,443,"{Maths:0.84,SESD:0.72,AIML:0.56,FSD:0.98,DVA:0.65}","{Maths:16.7,SESD:19.1,AIML:12.9,FSD:6.3,DVA:10.8}"
44,Aadhya Kumar,2024-C-92362006B,-12,52,67,86,85,329,"{Maths:0.86,SESD:0.87,AIML:0.93,FSD:0.6,DVA:0.93}","{Maths:6.0,SESD:13.6,AIML:11.4,FSD:10.6,DVA:7.0}"
45,Arjun Patel,2024-C-34052006B,71,80,80,79,84,439,"{Maths:0.92,SESD:0.87,AIML:0.87,FSD:0.77,DVA:0.83}","{Maths:13.5,SESD:8.4,AIML:11.2,FSD:10.5,DVA:7.2}"
46,Riya Kapoor,2024-C-92722006B,50,40,80,41,63,304,"{Maths:0.87,SESD:0.55,AIML:0.52,FSD:0.91,DVA:0.97}","{Maths:7.2,SESD:7.4,AIML:10.0,FSD:11.0,DVA:13.1}"
47,Riya Nair,2024-B-25762006B,77,45,82,64,84,375,"{Maths:0.94,SESD:0.77,AIML:0.76,FSD:0.93,DVA:0.88}","{Maths:11.6,SESD:16.6,AIML:13.3,FSD:8.1,DVA:10.0}"
48,Diya Gupta,2024-A-82752006B,89,87,68,97,64,409,"{Maths:0.92,SESD:0.71,AIML:0.92,FSD:0.79,DVA:0.93}","{Maths:6.6,SESD:18.5,AIML:17.8,FSD:18.9,DVA:17.4}"
49,Riya Verma,2024-B-14342006B,85,81,64,42,49,338,"{Maths:0.96,SESD:0.93,AIML:0.6,FSD:0.84,DVA:0.67}","{Maths:19.5,SESD:13.0,AIML:10.7,FSD:13.0,DVA:17.1}"
50,Vihaan Gupta,2024-A-71062006B,89,89,84,95,99,460,"{Maths:0.96,SESD:0.73,AIML:0.64,FSD:0.98,DVA:0.52}","{Maths:18.3,SESD:6.1,AIML:16.6,FSD:17.6,DVA:18.6}"
51,Ishaan Mishra,2024-C-36722006B,67,42,74,79,75,340,"{Maths:0.93,SESD:0.7,AIML:0.64,FSD:0.9,DVA:0.88}","{Maths:18.8,SESD:14.8,AIML:5.4,FSD:19.0,DVA:15.3}"
52,Ayaan Patel,2024C10042006B,90,66,59,77,84,398,"{Maths:0.98,SESD:0.91,AIML:0.57,FSD:0.67,DVA:0.79}","{Maths:9.3,SESD:9.4,AIML:18.8,FSD:6.7,DVA:9.9}"
53,Saanvi Nair,2024-C-84612006B,91,48,87,50,73,373,"{Maths:0.51,SESD:0.92,AIML:0.63,FSD:0.81,DVA:0.83}","{Maths:16.9,SESD:12.9,AIML:19.1,FSD:8.6,DVA:13.7}"
54,Vivaan Nair,2024-A-16582006B,60,91,88,94,68,444,"{Maths:0.97,SESD:0.98,AIML:0.55,FSD:0.54,DVA:0.78}","{Maths:16.5,SESD:6.5,AIML:5.0,FSD:9.2,DVA:13.8}"
55,Sai Verma,2024-A-88382006B,64,99,99,66,73,443,"{Maths:0.57,SESD:0.82,AIML:0.92,FSD:0.54,DVA:0.67}","{Maths:7.1,SESD:5.5,AIML:7.4,FSD:6.7,DVA:8.2}"
56,Ananya Mishra,2024-A-63732006B,99,63,61,68,85,407,"{Maths:0.53,SESD:0.51,AIML:0.91,FSD:0.82,DVA:0.98}","{Maths:12.2,SESD:8.2,AIML:8.2,FSD:12.6,DVA:15.4}"
57,Aditya Gupta,2024-C-66352006B,98,63,74,71,51,357,"{Maths:0.71,SESD:0.52,AIML:0.71,FSD:0.68,DVA:0.57}","{Maths:7.6,SESD:18.2,AIML:9.4,FSD:16.5,DVA:11.2}"
58,Reyansh Gupta,2024-A-93002006B,91,44,55,86,57,343,"{Maths:0.66,SESD:0.61,AIML:0.71,FSD:0.77,DVA:0.92}","{Maths:11.1,SESD:17.9,AIML:5.2,FSD:7.4,DVA:12.1}"
59,Diya Kapoor,2024-B-98132006B,43,83,80,55,45,335,"{Maths:0.79,SESD:0.8,AIML:0.81,FSD:0.71,DVA:0.97}","{Maths:7.4,SESD:11.1,AIML:8.1,FSD:18.1,DVA:14.2}"
60,Ishaan Sharma,2024-B-43712006B,92,94,63,63,-3,354,"{Maths:0.58,SESD:0.68,AIML:0.58,FSD:0.85,DVA:0.73}","{Maths:18.3,SESD:10.5,AIML:12.9,FSD:15.9,DVA:17.4}"
61,Aditya Reddy,2024-B-25042006B,171,90,93,53,76,317,"{Maths:0.71,SESD:0.71,AIML:0.54,FSD:0.73,DVA:0.63}","{Maths:17.5,SESD:18.9,AIML:18.4,FSD:9.3,DVA:9.1}"
62,Ira Singh,2024-B-61272006B,82,61,94,49,93,423,,"{Maths:14.3,SESD:19.5,AIML:8.9,FSD:14.5,DVA:16.1}"
63,Myra Kumar,2024-B-82512006B,79,84,94,40,63,382,"{Maths:0.59,SESD:0.57,AIML:0.94,FSD:0.64,DVA:0.8}","{Maths:7.5,SESD:18.2,AIML:11.1,FSD:16.5,DVA:13.0}"
64,Krishna Patel,2024-B-23352006B,99,90,97,46,88,424,"{Maths:0.66,SESD:0.76,AIML:0.62,FSD:0.96,DVA:0.55}","{Maths:18.0,SESD:18.6,AIML:10.5,FSD:11.1,DVA:6.4}"
65,Sai Sharma,2024-C-44452006B,68,55,53,47,42,273,"{Maths:0.87,SESD:0.87,AIML:0.71,FSD:0.97,DVA:0.53}","{Maths:11.9,SESD:9.4,AIML:19.4,FSD:18.7,DVA:16.3}"
66,Riya Kapoor,2024-C-20972006B,54,82,45,50,99,352,"{Maths:0.84,SESD:0.76,AIML:0.97,FSD:0.54,DVA:0.99}","{Maths:19.4,SESD:8.9,AIML:12.2,FSD:7.6,DVA:8.7}"
67,Ananya Kumar,2024-A-67262006B,88,52,85,90,81,408,"{Maths:0.67,SESD:0.84,AIML:0.67,FSD:0.95,DVA:0.53}","{Maths:11.2,SESD:11.0,AIML:12.6,FSD:12.3,DVA:5.6}"
68,Diya Nair,2024-A-81592006B,91,86,60,89,72,440,"{Maths:0.74,SESD:0.6,AIML:0.54,FSD:0.85,DVA:0.94}","{Maths:19.3,SESD:11.1,AIML:6.3,FSD:15.4,DVA:16.5}"
69,Pari Patel,2024-B-65102006B,71,57,60,-10,49,272,"{Maths:0.56,SESD:0.92,AIML:0.72,FSD:0.95,DVA:0.52}","{Maths:7.4,SESD:10.2,AIML:10.6,FSD:18.6,DVA:8.0}"
70,Aadhya Patel,2024-B-12292006B,91,84,53,70,92,407,"{Maths:0.64,SESD:0.58,AIML:0.75,FSD:0.94,DVA:0.85}","{Maths:18.2,SESD:8.9,AIML:16.8,FSD:12.4,DVA:10.1}"
71,Ayaan Singh,2024-A-48972006B,85,91,45,60,75,384,"{Maths:0.64,SESD:0.9,AIML:0.88,FSD:0.94,DVA:0.73}","{Maths:17.0,SESD:14.4,AIML:6.2,FSD:6.6,DVA:7.9}"
72,Saanvi Reddy,2024-C-78382006B,41,44,55,49,99,301,"{Maths:0.69,SESD:0.75,AIML:0.51,FSD:0.95,DVA:0.86}","{Maths:16.2,SESD:10.0,AIML:14.6,FSD:17.3,DVA:14.9}"
73,Reyansh Reddy,2024-C-23032006B,88,81,98,83,81,446,,"{Maths:15.9,SESD:12.7,AIML:13.2,FSD:13.7,DVA:17.3}"
74,Diya Verma,2024-A-86632006B,90,-17,63,98,45,299,"{Maths:0.96,SESD:0.58,AIML:0.59,FSD:0.53,DVA:0.76}","{Maths:7.9,SESD:6.2,AIML:14.9,FSD:11.4,DVA:9.8}"
75,Aditya Nair,2024-B-13412006B,65,59,46,78,55,305,"{Maths:0.82,SESD:0.63,AIML:0.99,FSD:0.72,DVA:0.62}","{Maths:16.5,SESD:10.1,AIML:14.1,FSD:17.1,DVA:19.0}"
76,Diya Reddy,2024-C-64372006B,45,55,61,152,54,260,"{Maths:0.91,SESD:0.76,AIML:0.64,FSD:0.5,DVA:0.82}","{Maths:18.8,SESD:9.5,AIML:13.8,FSD:11.3,DVA:16.0}"
77,Aadhya Patel,2024-B-16892006B,178,-13,68,51,41,179,"{Maths:0.54,SESD:0.64,AIML:0.86,FSD:0.83,DVA:0.52}","{Maths:11.6,SESD:6.7,AIML:5.4,FSD:12.4,DVA:11.7}"
78,Ishaan Kumar,2024-C-44022006B,70,52,54,44,69,324,"{Maths:0.84,SESD:0.99,AIML:0.62,FSD:0.52,DVA:0.58}","{Maths:20.0,SESD:11.0,AIML:11.2,FSD:19.4,DVA:13.1}"
79,Aarav Gupta,2024-B-21712006B,,84,88,77,98,393,"{Maths:0.57,SESD:0.85,AIML:0.61,FSD:0.87,DVA:0.95}","{Maths:17.6,SESD:6.4,AIML:6.6,FSD:15.7,DVA:6.5}"
80,Prisha Sharma,2024-B-86422006B,53,58,85,43,44,305,"{Maths:0.85,SESD:0.78,AIML:0.74,FSD:0.6,DVA:0.81}","{Maths:5.3,SESD:5.5,AIML:5.6,FSD:12.2,DVA:11.9}"
81,Aadhya Kumar,2024-B-33272006B,154,97,92,46,95,338,"{Maths:0.76,SESD:0.55,AIML:0.59,FSD:0.52,DVA:0.81}","{Maths:5.4,SESD:11.3,AIML:5.5,FSD:19.3,DVA:8.0}"
82,Ayaan Gupta,2024-B-78462006B,82,47,72,53,75,370,"{Maths:0.57,SESD:0.75,AIML:0.75,FSD:0.82,DVA:0.94}","{Maths:12.5,SESD:10.5,AIML:7.4,FSD:18.1,DVA:11.4}"
83,Ishaan Kumar,2024-A-75772006B,54,85,51,53,86,359,"{Maths:0.62,SESD:0.54,AIML:0.93,FSD:0.83,DVA:0.59}","{Maths:19.7,SESD:16.1,AIML:12.7,FSD:13.3,DVA:10.0}"
84,Vivaan Kapoor,2024-B-29042006B,71,83,52,79,87,397,,"{Maths:9.9,SESD:18.9,AIML:14.1,FSD:17.7,DVA:10.7}"
85,Krishna Verma,2024-C-87852006B,44,69,87,63,90,386,"{Maths:0.88,SESD:0.99,AIML:0.52,FSD:0.67,DVA:0.69}","{Maths:15.1,SESD:10.7,AIML:7.3,FSD:5.6,DVA:16.8}"
86,Aditya Verma,2024-B-14022006B,81,64,46,61,65,359,"{Maths:0.9,SESD:0.62,AIML:1.0,FSD:0.65,DVA:0.58}","{Maths:15.2,SESD:8.7,AIML:19.8,FSD:11.4,DVA:7.5}"
87,Aditya Gupta,2024-C-44692006B,66,51,92,55,72,340,"{Maths:0.69,SESD:0.61,AIML:0.56,FSD:0.93,DVA:0.62}","{Maths:7.6,SESD:17.2,AIML:18.2,FSD:18.1,DVA:15.0}"
88,Vivaan Singh,2024-A-10392006B,45,80,62,96,75,385,"{Maths:0.76,SESD:0.89,AIML:0.98,FSD:0.81,DVA:0.77}","{Maths:17.6,SESD:11.8,AIML:13.0,FSD:12.4,DVA:18.5}"
89,Saanvi Mishra,2024-A-92432006B,87,63,40,46,68,347,"{Maths:0.92,SESD:0.67,AIML:0.74,FSD:0.75,DVA:0.8}","{Maths:13.7,SESD:6.7,AIML:15.0,FSD:16.6,DVA:15.1}"
90,Krishna Sharma,2024-C-51022006B,178,47,82,-13,40,219,"{Maths:0.6,SESD:0.96,AIML:1.0,FSD:0.51,DVA:0.74}","{Maths:13.2,SESD:19.5,AIML:6.6,FSD:11.4,DVA:14.4}"
91,Vivaan Singh,2024-C-42702006B,88,43,74,79,62,366,"{Maths:0.52,SESD:0.52,AIML:0.98,FSD:0.81,DVA:0.59}","{Maths:12.5,SESD:19.1,AIML:5.7,FSD:12.6,DVA:13.5}"
92,Arjun Singh,2024B10042006B,42,72,56,43,89,325,"{Maths:0.59,SESD:0.83,AIML:0.69,FSD:0.94,DVA:0.55}","{Maths:13.5,SESD:13.3,AIML:16.3,FSD:7.0,DVA:5.2}"
93,Myra Gupta,2024-C-54442006B,58,90,53,158,50,275,"{Maths:0.84,SESD:0.94,AIML:0.86,FSD:0.76,DVA:0.58}","{Maths:8.9,SESD:13.4,AIML:9.9,FSD:5.0,DVA:16.7}"
94,Riya Singh,2024A10042006B,87,64,67,53,86,387,"{Maths:0.57,SESD:0.89,AIML:0.91,FSD:0.82,DVA:0.82}","{Maths:9.5,SESD:7.1,AIML:9.8,FSD:7.6,DVA:8.7}"
95,Myra Sharma,2024-C-20002006B,62,54,63,86,63,372,"{Maths:0.83,SESD:0.78,AIML:0.92,FSD:0.79,DVA:0.59}","{Maths:5.9,SESD:13.9,AIML:18.1,FSD:5.6,DVA:13.0}"
96,Aarav Nair,2024C10042006B,80,99,98,84,65,445,"{Maths:0.66,SESD:0.53,AIML:0.73,FSD:0.53,DVA:0.95}","{Maths:12.6,SESD:11.0,AIML:19.0,FSD:13.4,DVA:19.4}"
97,Anvi Mishra,2024-A-52442006B,43,66,94,77,52,375,"{Maths:0.58,SESD:0.66,AIML:0.98,FSD:0.73,DVA:0.97}",
98,Anvi Nair,2024C10042006B,82,-7,172,55,65,225,"{Maths:0.85,SESD:0.95,AIML:0.73,FSD:0.79,DVA:0.98}",
99,Pari Kumar,2024-A-29992006B,58,94,87,-8,73,312,"{Maths:0.67,SESD:0.79,AIML:0.88,FSD:0.84,DVA:0.77}","{Maths:7.4,SESD:7.9,AIML:6.0,FSD:9.9,DVA:14.2}"
100,Ira Sharma,2024-C-51482006B,86,97,75,42,94,415,"{Maths:0.73,SESD:0.74,AIML:0.77,FSD:0.68,DVA:0.87}","{Maths:16.5,SESD:17.8,AIML:16.8,FSD:9.3,DVA:8.9}"
101,Prisha Sharma,2024-A-88662006B,49,70,93,97,78,421,"{Maths:0.66,SESD:0.53,AIML:0.63,FSD:0.82,DVA:0.84}","{Maths:15.7,SESD:18.2,AIML:15.1,FSD:18.3,DVA:8.3}"
102,Myra Reddy,2024-C-49252006B,60,81,75,68,54,341,"{Maths:0.89,SESD:0.55,AIML:0.68,FSD:0.91,DVA:0.55}","{Maths:7.5,SESD:10.3,AIML:11.2,FSD:8.6,DVA:16.8}"
103,Saanvi Reddy,2024-A-89452006B,98,57,62,40,71,331,"{Maths:0.94,SESD:0.88,AIML:0.9,FSD:0.87,DVA:0.95}","{Maths:7.4,SESD:5.9,AIML:14.6,FSD:6.5,DVA:7.6}"
104,Ira Kapoor,2024-A-61922006B,86,82,-7,76,88,343,"{Maths:0.51,SESD:0.57,AIML:0.74,FSD:0.51,DVA:0.84}","{Maths:15.5,SESD:18.6,AIML:18.8,FSD:12.7,DVA:9.5}"
105,Vihaan Gupta,2024-A-30442006B,83,58,69,62,62,338,"{Maths:0.59,SESD:0.62,AIML:0.54,FSD:0.94,DVA:0.63}","{Maths:7.9,SESD:14.1,AIML:10.9,FSD:19.4,DVA:12.3}"
106,Arjun Nair,2024-A-23702006B,52,,67,46,88,272,"{Maths:0.96,SESD:0.63,AIML:0.68,FSD:0.79,DVA:0.72}","{Maths:9.5,SESD:19.8,AIML:6.5,FSD:18.0,DVA:8.4}"
107,Aadhya Patel,2024-C-92642006B,52,40,,45,88,234,"{Maths:0.93,SESD:0.75,AIML:0.98,FSD:0.81,DVA:0.86}","{Maths:17.8,SESD:19.3,AIML:15.2,FSD:17.4,DVA:14.1}"
108,Krishna Nair,2024-B-91742006B,43,91,53,56,83,,"{Maths:0.5,SESD:0.74,AIML:0.59,FSD:0.95,DVA:0.59}","{Maths:7.4,SESD:8.4,AIML:7.7,FSD:8.5,DVA:7.5}"
109,Saanvi Mishra,2024B10042006B,55,62,98,93,43,352,"{Maths:0.81,SESD:0.72,AIML:0.78,FSD:0.6,DVA:0.83}","{Maths:14.1,SESD:17.4,AIML:5.6,FSD:12.1,DVA:15.0}"
110,Riya Singh,2024-C-27672006B,88,86,48,83,92,435,"{Maths:0.69,SESD:0.76,AIML:0.94,FSD:0.57,DVA:0.88}","{Maths:19.4,SESD:16.2,AIML:11.1,FSD:10.9,DVA:16.6}"
111,Sai Patel,2024-C-73482006B,54,80,40,88,98,389,"{Maths:0.77,SESD:0.97,AIML:1.0,FSD:0.6,DVA:0.79}","{Maths:14.6,SESD:16.6,AIML:12.3,FSD:10.0,DVA:9.2}"
112,Aadhya Verma,2024-A-63122006B,56,93,93,46,77,381,"{Maths:0.57,SESD:0.67,AIML:0.74,FSD:0.92,DVA:0.95}","{Maths:17.5,SESD:13.4,AIML:14.0,FSD:6.2,DVA:14.0}"
113,Diya Kumar,2024-A-67662006B,54,92,48,91,49,367,"{Maths:0.69,SESD:0.74,AIML:0.89,FSD:0.61,DVA:0.73}","{Maths:19.4,SESD:12.2,AIML:17.0,FSD:15.2,DVA:12.2}"
114,Myra Kapoor,2024-B-99702006B,93,42,200,57,-6,212,"{Maths:0.92,SESD:0.75,AIML:0.52,FSD:0.66,DVA:0.8}","{Maths:11.1,SESD:9.4,AIML:8.2,FSD:14.6,DVA:7.7}"
115,Reyansh Kapoor,2024-A-56982006B,61,74,68,79,94,377,"{Maths:0.87,SESD:0.88,AIML:0.98,FSD:0.54,DVA:0.87}","{Maths:17.2,SESD:10.1,AIML:16.5,FSD:19.0,DVA:12.0}"
116,Aditya Gupta,2024-B-80632006B,92,47,87,92,92,422,"{Maths:0.8,SESD:0.95,AIML:0.62,FSD:0.55,DVA:0.78}","{Maths:18.6,SESD:19.8,AIML:13.8,FSD:20.0,DVA:7.9}"
117,Vihaan Kumar,2024-B-33962006B,60,81,63,44,51,317,"{Maths:0.99,SESD:0.6,AIML:0.56,FSD:0.97,DVA:0.97}","{Maths:10.5,SESD:16.7,AIML:10.2,FSD:9.6,DVA:16.7}"
118,Vihaan Patel,2024-A-26442006B,,48,68,78,87,319,"{Maths:0.57,SESD:0.65,AIML:0.85,FSD:0.59,DVA:0.58}","{Maths:18.8,SESD:7.6,AIML:5.1,FSD:18.4,DVA:10.6}"
119,Myra Mishra,2024-B-77242006B,60,45,181,41,89,262,"{Maths:0.83,SESD:0.81,AIML:0.75,FSD:0.77,DVA:0.88}","{Maths:11.1,SESD:18.9,AIML:10.5,FSD:15.4,DVA:19.4}"
120,Sai Reddy,2024-A-11522006B,156,-3,-7,85,62,180,"{Maths:0.78,SESD:0.6,AIML:0.66,FSD:0.99,DVA:0.6}","{Maths:16.9,SESD:16.8,AIML:11.9,FSD:19.4,DVA:8.6}"
